B7_016,F_020,M_F,B3_007,B7_015,F_019,L1_001,M_B7
0.79935,1.530215,1.1710765,4.969866,0.259373,0.811938,1.735131,0.5293615
1.115505,1.530215,1.2245105,4.388286,-0.015674,0.918806,0.926719,0.5499155
-0.149115,1.428072,1.387175,3.965319,0.094345,1.346278,0.603355,-0.027385
-0.46527,1.019502,1.049305,3.383739,-0.070683,1.079108,0.872825,-0.2679765
1.431661,2.755925,1.6236295,3.277997,0.369391,0.491334,0.926719,0.900526
1.431661,1.530215,1.1977935,3.700964,0.974493,0.865372,0.603355,1.203077
1.326276,2.755925,1.8373655,3.753835,0.369391,0.918806,1.357872,0.8478335
0.37781,1.121645,0.9133575,2.749288,-0.29072,0.70507,0.27999,0.043545
0.272425,0.10022,0.295777,3.43661,-0.455748,0.491334,0.495566,-0.0916615
-0.570655,0.304505,0.317769,3.066513,-0.565766,0.331033,0.064413,-0.5682105
-1.097581,-1.431918,-0.8176125,2.432062,-0.840812,-0.203307,0.495566,-0.9691965
-1.202966,-1.12549,-0.6911155,2.802159,-1.115859,-0.256741,-0.043375,-1.1594125
-0.46527,-0.71692,-0.2730945,2.432062,-1.280886,0.170731,-0.36674,-0.873078
-0.2545,-0.206208,-0.1780405,2.643546,-0.840812,-0.149873,0.333884,-0.547656
0.061655,0.406647,0.261972,2.061966,-0.785803,0.117297,0.118307,-0.362074
-0.781426,1.428072,0.8795525,2.273449,-0.070683,0.331033,-0.205057,-0.4260545
-0.781426,1.428072,0.8795525,2.273449,-0.070683,0.331033,-0.205057,-0.4260545
-1.308352,2.551639,1.521487,1.956224,-0.015673,0.491335,-0.097269,-0.6620125
-0.570656,2.040927,1.239414,2.061966,0.149354,0.437901,0.172202,-0.210651
-0.465271,2.245212,1.3949905,2.167707,-0.125692,0.544769,0.549461,-0.2954815
-1.097582,1.938784,1.001324,1.797611,-0.345729,0.063864,0.27999,-0.7216555
-2.046047,1.223787,0.6705425,1.480386,-0.510756,0.117298,-0.097269,-1.2784015
-2.046047,-0.001923,-0.2361995,1.586127,-3.885988,-0.470476,-0.474527,-2.9660175
-3.837593,-1.738346,-1.5585995,2.009095,-5.041182,-1.378853,-1.282939,-4.4393875
-4.259133,-2.453343,-1.942815,1.586127,-5.1512,-1.432287,-1.875775,-4.7051665
-3.521438,-3.679053,-2.902991,1.586127,-5.316228,-2.126929,-2.360822,-4.418833
-4.153748,-3.168341,-3.61909,0.793064,-5.426246,-4.069839,-2.791975,-4.789997
-3.626823,-4.189766,-4.1298025,1.16316,-5.261219,-4.069839,-2.522504,-4.444021
-3.942978,-3.270483,-3.830463,0.158613,-5.86632,-4.390443,-2.845869,-4.904649
-4.153748,-3.270483,-3.59001,0.264354,-6.086357,-3.909537,-2.522504,-5.1200525
-3.626823,-2.759771,-3.494956,0.58158,-6.031348,-4.230141,-2.46861,-4.8290855
-3.837593,-3.576911,-3.930243,0.211484,-4.821145,-4.283575,-2.46861,-4.329369
-2.994513,-3.679053,-3.794295,-0.317226,-5.591274,-3.909537,-3.007551,-4.2928935
-3.099898,-2.657628,-3.3637335,-0.158613,-5.1512,-4.069839,-2.953657,-4.125549
-2.046047,-1.942631,-3.219971,-0.422967,-5.1512,-4.497311,-2.899763,-3.5986235
-3.099898,-2.555486,-3.3660965,-0.475838,-4.876154,-4.176707,-2.953657,-3.988026
-3.837593,-2.249058,-3.3731845,-1.004547,-5.481256,-4.497311,-2.953657,-4.6594245
-2.889128,-2.964056,-3.5703815,-0.105742,-4.986172,-4.176707,-2.306928,-3.93765
-3.732208,-2.657628,-3.6309035,-0.845935,-5.426246,-4.604179,-2.522504,-4.579227
-3.626823,-1.942631,-3.300122,-0.687322,-5.701293,-4.657613,-2.899763,-4.664058
-2.889128,-1.942631,-3.40699,-0.740193,-5.86632,-4.871349,-2.791975,-4.377724
-3.310668,-1.738346,-3.4117155,-0.898806,-5.536265,-5.085085,-2.576398,-4.4234665
-4.469903,-1.227634,-2.9960575,-1.216031,-5.481256,-4.764481,-2.953657,-4.9755795
-4.996829,-2.453344,-3.5287615,-1.374644,-5.86632,-4.604179,-3.38481,-5.4315745
-5.523754,-2.249059,-3.480053,-0.317226,-6.581441,-4.711047,-3.169234,-6.0525975
-5.945294,-2.044774,-3.805382,-1.057418,-6.526431,-5.56599,-3.38481,-6.2358625
-5.945294,-2.044774,-3.805382,-1.057418,-6.526431,-5.56599,-3.38481,-6.2358625
-5.312984,-0.206209,-2.7792315,-1.427515,-6.416413,-5.352254,-3.061446,-5.8646985
