B7_016,F_020,M_B7,M_F,B3_007,B7_015,F_019,L1_001
-5.839909,-5.006907,-6.4207835,-5.6775595,-4.527815,-7.001658,-6.348212,-3.850404
-6.050679,-4.700479,-6.41615,-5.5510625,-4.580686,-6.781621,-6.401646,-4.658816
-5.523754,-4.598337,-6.34522,-5.4198405,-4.157718,-7.166686,-6.241344,-3.688721
-4.364518,-3.781197,-5.188005,-4.7975345,-4.210589,-6.011492,-5.813872,-4.604922
-3.942978,-2.964057,-4.977235,-4.3889645,-4.104847,-6.011492,-5.813872,-3.634827
-4.153748,-2.657629,-5.137629,-3.915147,-4.527815,-6.12151,-5.172665,-3.365357
-3.205282,-2.861914,-4.6358915,-4.204308,-4.474944,-6.066501,-5.546702,-3.203674
-3.732208,-3.066199,-4.51429,-4.146149,-4.792169,-5.296372,-5.226099,-3.473145
-3.626823,-3.066199,-4.7366435,-4.2530165,-4.051977,-5.846464,-5.439834,-3.14978
-1.940662,-2.351202,-3.673526,-3.7619335,-4.950782,-5.40639,-5.172665,-3.203674
-1.308351,-1.738347,-3.192343,-3.268487,-4.580686,-5.076335,-4.798627,-2.503051
-0.043731,0.202361,-2.339996,-2.05768,-4.051977,-4.636261,-4.317721,-3.257568
0.061654,-0.410494,-2.0397615,-2.4442585,-3.576138,-4.141177,-4.478023,-2.018004
-0.992196,0.610931,-2.5116775,-1.71981,-3.840493,-4.031159,-4.050551,-2.934204
-0.676041,0.508788,-2.3260955,-1.7441645,-3.68188,-3.97615,-3.997117,-2.556945
-1.097581,-0.819064,-2.6743885,-2.5951095,-3.576138,-4.251196,-4.371155,-2.287474
-2.678357,-0.819064,-3.5197855,-2.5416755,-3.417526,-4.361214,-4.264287,-2.179686
-2.151432,-1.227634,-3.723902,-2.9062625,-3.206042,-5.296372,-4.584891,-2.556945
-1.519121,-0.308352,-3.1051955,-2.3664705,-3.417526,-4.69127,-4.424589,-2.23358
-0.254501,-0.512637,-2.3903715,-2.308311,-3.68188,-4.526242,-4.103985,-2.341368
1.64243,-0.716922,-1.3318875,-2.3035855,-3.893364,-4.306205,-3.890249,-2.664733
2.380126,0.917358,-0.495461,-1.4330115,-3.1003,-3.371048,-3.783381,-2.179686
3.644746,2.245211,-0.368068,-0.6622175,-3.576138,-4.380882,-3.569646,-1.964109
3.644746,2.245211,-0.368068,-0.6622175,-3.576138,-4.380882,-3.569646,-1.964109
4.698596,3.470921,-0.006171,0.271241,-3.470396,-4.710938,-2.928439,-1.58685
5.120137,3.573064,0.6996825,0.4558975,-3.311784,-3.720772,-2.661269,-0.886226
5.752447,4.492346,1.1808655,0.8621045,-3.258913,-3.390716,-2.768137,-0.724544
5.436292,4.288061,0.802751,0.786679,-3.470396,-3.83079,-2.714703,-0.239497
6.595527,4.185919,1.5198915,0.89591,-2.835945,-3.555744,-2.394099,-1.101803
6.279372,5.207344,1.499337,1.3531885,-2.51872,-3.280698,-2.500967,-0.994015
6.068602,4.594489,1.696503,1.394082,-2.624462,-2.675596,-1.806325,-0.67065
6.911683,5.513771,2.008025,1.853723,-2.465849,-2.895633,-1.806325,-0.185603
6.173987,5.207344,1.6666815,1.807377,-2.465849,-2.840624,-1.59259,0.24555
6.279372,4.900916,1.884402,1.654163,-1.567043,-2.510568,-1.59259,-0.185603
7.122453,4.492346,2.415961,1.2628595,-2.465849,-2.290531,-1.966627,0.029974
7.649378,6.433054,2.8994605,2.633968,-1.725656,-1.850457,-1.165118,0.353339
8.281688,6.228769,3.0780925,2.3715235,-1.302689,-2.125503,-1.485722,0.137762
8.492458,7.556621,3.431019,3.1156005,-1.725656,-1.63042,-1.32542,0.946174
8.492458,7.045909,3.5410375,3.3144335,-1.514173,-1.410383,-0.417042,1.377327
7.965533,6.535196,3.3600885,2.872058,-0.985463,-1.245356,-0.79108,0.568915
7.754763,6.739481,2.952153,2.7604645,-1.196947,-1.850457,-1.218552,1.592903
8.387073,6.739481,3.405831,2.9742005,-1.144076,-1.575411,-0.79108,1.107856
8.913999,7.250194,3.8618265,3.309708,-0.879722,-1.190346,-0.630778,0.568915
9.546309,8.373761,4.288,3.8447745,-0.456754,-0.970309,-0.684212,1.053962
8.703228,7.250194,3.8664595,3.416576,-0.562496,-0.970309,-0.417042,1.431221
8.070918,7.658764,3.275258,3.513993,-0.139529,-1.520402,-0.630778,1.000068
8.070918,7.352336,3.715332,3.253911,-0.456754,-0.640254,-0.844514,1.431221
8.070918,9.293044,3.8253505,4.384567,-0.245271,-0.420217,-0.52391,1.754586
8.070918,9.497329,4.100397,4.753879,-0.351012,0.129876,0.010429,1.431221
8.070918,8.782331,3.797846,4.476531,-0.403883,-0.475226,0.170731,1.377327
8.070918,9.293044,3.9628735,4.8120385,0.071955,-0.145171,0.331033,1.646798
8.070918,9.190901,4.072892,4.73425,-0.1924,0.074866,0.277599,2.024056
8.913999,8.884474,4.769479,4.6879045,-0.033787,0.624959,0.491335,2.401315
8.913999,8.884474,4.769479,4.6879045,-0.033787,0.624959,0.491335,2.401315
8.913999,8.373762,5.0170205,4.5661335,0.706406,1.120042,0.758505,3.101939
9.862465,8.578047,5.903823,4.668276,0.442052,1.945181,0.758505,3.64088
9.019384,8.884474,5.427273,5.0886595,0.494923,1.835162,1.292845,3.263621
10.073235,9.599472,6.064217,5.740045,0.653535,2.055199,1.880618,4.072033
10.17862,9.497329,6.4194605,5.528672,1.182244,2.660301,1.560015,3.910351
9.335539,10.008042,5.7228735,5.890896,1.340857,2.110208,1.77375,3.425304
9.651695,8.884474,5.798438,5.2756785,1.287986,1.945181,1.666883,3.856457
10.705545,9.905899,6.2703535,5.652806,1.287986,1.835162,1.399713,4.449292
10.916315,10.927324,6.8158125,6.403971,1.605212,2.71531,1.880618,4.449292
12.391706,10.927324,7.498499,6.403971,2.08105,2.605292,1.880618,4.55708
11.759396,11.131609,7.4023805,6.7732835,1.393728,3.045365,2.414958,5.096022
12.813246,11.744464,8.204352,7.133145,1.869566,3.595458,2.521826,4.880445
