B1_004,B3_008,F_020,L1_002,M_B1,M_F,M_L1,B1_003,B2_005,F_019,M_B2,L1_001,B2_006
-9.011186,-9.35378,-8.686497,-8.922478,-10.2436755,-9.838308,-9.9859975,-11.476165,-10.919663,-10.990119,-9.7854325,-11.049517,-8.651202
-8.720503,-9.052046,-8.396947,-8.625062,-10.2234185,-9.8167895,-9.9588645,-11.726334,-11.164595,-11.236632,-9.763712,-11.292667,-8.362829
-8.429819,-8.750311,-8.107397,-8.327646,-10.0780765,-9.6720145,-9.8101565,-11.726334,-11.164595,-11.236632,-9.619525,-11.292667,-8.074455
-7.557769,-7.845106,-7.238748,-7.435399,-9.141713,-8.7446645,-8.8777325,-10.725657,-10.184866,-10.250581,-8.6971005,-10.320066,-7.209335
-7.557769,-7.845106,-7.238748,-7.435399,-9.141713,-8.7446645,-8.8777325,-10.725657,-10.184866,-10.250581,-8.6971005,-10.320066,-7.209335
-6.976402,-7.241636,-6.659648,-6.840568,-8.60086,-8.208602,-8.3371665,-10.225318,-9.695001,-9.757556,-8.1637945,-9.833765,-6.632588
-6.685719,-6.939901,-6.370098,-6.543152,-8.4555185,-8.063827,-8.1884585,-10.225318,-9.695001,-9.757556,-8.0196075,-9.833765,-6.344214
-5.813669,-6.034697,-5.501448,-5.650904,-7.769324,-7.3829895,-7.4991845,-9.724979,-9.205137,-9.264531,-7.3421155,-9.347465,-5.479094
-5.522985,-5.732962,-5.211898,-5.353488,-7.498897,-7.114958,-7.2289015,-9.474809,-8.960204,-9.018018,-7.0754625,-9.104315,-5.190721
-4.941618,-5.129492,-4.632798,-4.758656,-6.9580445,-6.5788955,-6.688335,-8.974471,-8.47034,-8.524993,-6.542157,-8.618014,-4.613974
-5.232302,-5.431227,-4.922348,-5.056072,-7.228471,-6.846927,-6.9586185,-9.22464,-8.715272,-8.771506,-6.8088095,-8.861165,-4.902347
-5.522985,-5.732962,-5.211898,-5.353488,-7.498897,-7.114958,-7.2289015,-9.474809,-8.960204,-9.018018,-7.0754625,-9.104315,-5.190721
-6.104352,-6.336431,-5.790998,-5.94832,-7.7895805,-7.404508,-7.5263175,-9.474809,-8.960204,-9.018018,-7.363836,-9.104315,-5.767468
-6.104352,-6.336431,-5.790998,-5.94832,-7.7895805,-7.404508,-7.5263175,-9.474809,-8.960204,-9.018018,-7.363836,-9.104315,-5.767468
-6.976402,-7.241636,-6.659648,-6.840568,-8.2256055,-7.838833,-7.9724415,-9.474809,-8.960204,-9.018018,-7.796396,-9.104315,-6.632588
-5.813669,-6.034697,-5.501448,-5.650904,-8.0194935,-7.629502,-7.7423345,-10.225318,-9.695001,-9.757556,-7.5870475,-9.833765,-5.479094
-5.232302,-5.431227,-4.922348,-5.056072,-7.228471,-6.846927,-6.9586185,-9.22464,-8.715272,-8.771506,-6.8088095,-8.861165,-4.902347
-3.778885,-3.922553,-3.474599,-3.568993,-6.1265085,-5.7532835,-5.8503535,-8.474132,-7.980475,-8.031968,-5.7204775,-8.131714,-3.46048
-3.197518,-3.319083,-2.895499,-2.974161,-5.5856555,-5.217221,-5.3097875,-7.973793,-7.490611,-7.538943,-5.1871725,-7.645414,-2.883734
-3.488201,-3.620818,-3.185049,-3.271577,-5.4808275,-5.1154835,-5.215345,-7.473454,-7.000746,-7.045918,-5.0864265,-7.159113,-3.172107
-3.197518,-3.319083,-2.895499,-2.974161,-5.2104015,-4.847452,-4.945062,-7.223285,-6.755814,-6.799405,-4.819774,-6.915963,-2.883734
-2.325467,-2.413878,-2.026849,-2.081913,-4.774376,-4.413127,-4.498938,-7.223285,-6.755814,-6.799405,-4.3872135,-6.915963,-2.018613
-2.616151,-2.715613,-2.316399,-2.379329,-4.919718,-4.557902,-4.647646,-7.223285,-6.755814,-6.799405,-4.5314005,-6.915963,-2.306987
-2.325467,-2.413878,-2.026849,-2.081913,-4.649291,-4.2898705,-4.377363,-6.973115,-6.510882,-6.552892,-4.2647475,-6.672813,-2.018613
