B1_004,B2_006,B3_008,F_020,L1_002,M_B1,M_B2,B1_003,B2_005,L1_001,M_L1,F_019,M_F
-10.464603,-10.093069,-10.862455,-10.134247,-10.409558,-11.5958075,-11.1186965,-12.727012,-12.144324,-12.265268,-11.337413,-12.222682,-11.1784645
-10.17392,-9.804696,-10.56072,-9.844697,-10.112142,-11.3253815,-10.852044,-12.476843,-11.899392,-12.022118,-11.06713,-11.976169,-10.910433
-9.592553,-9.227949,-9.95725,-9.265597,-9.51731,-11.1597825,-10.6861365,-12.727012,-12.144324,-12.265268,-10.891289,-12.222682,-10.7441395
-9.301869,-8.939575,-9.655515,-8.976047,-9.219894,-10.5141015,-10.052085,-11.726334,-11.164595,-11.292667,-10.2562805,-11.236632,-10.1063395
-9.301869,-8.939575,-9.655515,-8.976047,-9.219894,-10.6391865,-10.1745515,-11.976504,-11.409528,-11.535817,-10.3778555,-11.483144,-10.2295955
-9.011186,-8.651202,-9.35378,-8.686497,-8.922478,-10.493845,-10.030365,-11.976504,-11.409528,-11.535817,-10.2291475,-11.483144,-10.0848205
-9.301869,-8.939575,-9.655515,-8.976047,-9.219894,-10.6391865,-10.1745515,-11.976504,-11.409528,-11.535817,-10.3778555,-11.483144,-10.2295955
-9.301869,-8.939575,-9.655515,-8.976047,-9.219894,-10.5141015,-10.052085,-11.726334,-11.164595,-11.292667,-10.2562805,-11.236632,-10.1063395
-9.301869,-8.939575,-9.655515,-8.976047,-9.219894,-10.5141015,-10.052085,-11.726334,-11.164595,-11.292667,-10.2562805,-11.236632,-10.1063395
-9.011186,-8.651202,-9.35378,-8.686497,-8.922478,-10.2436755,-9.7854325,-11.476165,-10.919663,-11.049517,-9.9859975,-10.990119,-9.838308
-8.720503,-8.362829,-9.052046,-8.396947,-8.625062,-10.2234185,-9.763712,-11.726334,-11.164595,-11.292667,-9.9588645,-11.236632,-9.8167895
-8.429819,-8.074455,-8.750311,-8.107397,-8.327646,-10.0780765,-9.619525,-11.726334,-11.164595,-11.292667,-9.8101565,-11.236632,-9.6720145
-7.557769,-7.209335,-7.845106,-7.238748,-7.435399,-9.141713,-8.6971005,-10.725657,-10.184866,-10.320066,-8.8777325,-10.250581,-8.7446645
-7.557769,-7.209335,-7.845106,-7.238748,-7.435399,-9.141713,-8.6971005,-10.725657,-10.184866,-10.320066,-8.8777325,-10.250581,-8.7446645
-6.976402,-6.632588,-7.241636,-6.659648,-6.840568,-8.60086,-8.1637945,-10.225318,-9.695001,-9.833765,-8.3371665,-9.757556,-8.208602
-6.685719,-6.344214,-6.939901,-6.370098,-6.543152,-8.4555185,-8.0196075,-10.225318,-9.695001,-9.833765,-8.1884585,-9.757556,-8.063827
-5.813669,-5.479094,-6.034697,-5.501448,-5.650904,-7.769324,-7.3421155,-9.724979,-9.205137,-9.347465,-7.4991845,-9.264531,-7.3829895
-5.522985,-5.190721,-5.732962,-5.211898,-5.353488,-7.498897,-7.0754625,-9.474809,-8.960204,-9.104315,-7.2289015,-9.018018,-7.114958
-4.941618,-4.613974,-5.129492,-4.632798,-4.758656,-6.9580445,-6.542157,-8.974471,-8.47034,-8.618014,-6.688335,-8.524993,-6.5788955
-5.232302,-4.902347,-5.431227,-4.922348,-5.056072,-7.228471,-6.8088095,-9.22464,-8.715272,-8.861165,-6.9586185,-8.771506,-6.846927
-5.522985,-5.190721,-5.732962,-5.211898,-5.353488,-7.498897,-7.0754625,-9.474809,-8.960204,-9.104315,-7.2289015,-9.018018,-7.114958
-6.104352,-5.767468,-6.336431,-5.790998,-5.94832,-7.7895805,-7.363836,-9.474809,-8.960204,-9.104315,-7.5263175,-9.018018,-7.404508
-6.104352,-5.767468,-6.336431,-5.790998,-5.94832,-7.7895805,-7.363836,-9.474809,-8.960204,-9.104315,-7.5263175,-9.018018,-7.404508
-6.976402,-6.632588,-7.241636,-6.659648,-6.840568,-8.2256055,-7.796396,-9.474809,-8.960204,-9.104315,-7.9724415,-9.018018,-7.838833
-5.813669,-5.479094,-6.034697,-5.501448,-5.650904,-8.0194935,-7.5870475,-10.225318,-9.695001,-9.833765,-7.7423345,-9.757556,-7.629502
-5.232302,-4.902347,-5.431227,-4.922348,-5.056072,-7.228471,-6.8088095,-9.22464,-8.715272,-8.861165,-6.9586185,-8.771506,-6.846927
-3.778885,-3.46048,-3.922553,-3.474599,-3.568993,-6.1265085,-5.7204775,-8.474132,-7.980475,-8.131714,-5.8503535,-8.031968,-5.7532835
-3.197518,-2.883734,-3.319083,-2.895499,-2.974161,-5.5856555,-5.1871725,-7.973793,-7.490611,-7.645414,-5.3097875,-7.538943,-5.217221
-3.488201,-3.172107,-3.620818,-3.185049,-3.271577,-5.4808275,-5.0864265,-7.473454,-7.000746,-7.159113,-5.215345,-7.045918,-5.1154835
-3.197518,-2.883734,-3.319083,-2.895499,-2.974161,-5.2104015,-4.819774,-7.223285,-6.755814,-6.915963,-4.945062,-6.799405,-4.847452
-2.325467,-2.018613,-2.413878,-2.026849,-2.081913,-4.774376,-4.3872135,-7.223285,-6.755814,-6.915963,-4.498938,-6.799405,-4.413127
-2.616151,-2.306987,-2.715613,-2.316399,-2.379329,-4.919718,-4.5314005,-7.223285,-6.755814,-6.915963,-4.647646,-6.799405,-4.557902
-2.325467,-2.018613,-2.413878,-2.026849,-2.081913,-4.649291,-4.2647475,-6.973115,-6.510882,-6.672813,-4.377363,-6.552892,-4.2898705
-1.7441,-1.441867,-1.810409,-1.44775,-1.487082,-4.233523,-3.8539085,-6.722946,-6.26595,-6.429663,-3.9583725,-6.30638,-3.877065
-0.87205,-0.576746,-0.905204,-0.5791,-0.594834,-3.5473285,-3.1764155,-6.222607,-5.776085,-5.943362,-3.269098,-5.813354,-3.196227
-0.581367,-0.288373,-0.603469,-0.28955,-0.297418,-3.1518175,-2.787297,-5.722268,-5.286221,-5.457062,-2.87724,-5.320329,-2.8049395
0.581367,0.865121,0.60347,0.86865,0.892246,-2.320281,-1.9656175,-5.221929,-4.796356,-4.970762,-2.039258,-4.827304,-1.979327
1.453418,1.730241,1.508674,1.737299,1.784493,-1.258832,-0.920727,-3.971082,-3.571695,-3.755011,-0.985259,-3.594741,-0.928721
1.744101,2.018614,1.810409,2.026849,2.081909,-1.1134905,-0.7765405,-3.971082,-3.571695,-3.755011,-0.836551,-3.594741,-0.783946
1.744101,2.018614,1.810409,2.026849,2.081909,-0.988406,-0.6540745,-3.720913,-3.326763,-3.511861,-0.714976,-3.348228,-0.6606895
2.325468,2.595361,2.413879,2.605949,2.676741,-0.9478915,-0.610633,-4.221251,-3.816627,-3.998161,-0.66071,-3.841254,-0.6176525
2.034784,2.306988,2.112144,2.316399,2.379325,-0.8430645,-0.5098875,-3.720913,-3.326763,-3.511861,-0.566268,-3.348228,-0.5159145
2.034784,2.306988,2.112144,2.316399,2.379325,-0.8430645,-0.5098875,-3.720913,-3.326763,-3.511861,-0.566268,-3.348228,-0.5159145
1.7441,2.018615,1.810409,2.026849,2.081909,-0.9884065,-0.654074,-3.720913,-3.326763,-3.511861,-0.714976,-3.348228,-0.6606895
1.453417,1.730242,1.508674,1.737299,1.784493,-1.008663,-0.6757945,-3.470743,-3.081831,-3.26871,-0.7421085,-3.101716,-0.6822085
2.906834,3.172109,3.017348,3.185049,3.271572,-0.2819545,0.045139,-3.470743,-3.081831,-3.26871,0.001431,-3.101716,0.0416665
3.197518,3.460482,3.319083,3.474599,3.568988,0.113557,0.434258,-2.970404,-2.591966,-2.78241,0.393289,-2.60869,0.4329545
3.778884,4.037229,3.922553,4.053699,4.16382,0.6544095,0.9675635,-2.470065,-2.102102,-2.29611,0.933855,-2.115665,0.969017
3.778884,4.037229,3.922553,4.053699,4.16382,0.6544095,0.9675635,-2.470065,-2.102102,-2.29611,0.933855,-2.115665,0.969017
4.360251,4.613976,4.526022,4.632798,4.758652,1.320347,1.6233355,-1.719557,-1.367305,-1.566659,1.5959965,-1.376127,1.6283355
4.941618,5.190722,5.129492,5.211898,5.353484,1.736115,2.0341745,-1.469388,-1.122373,-1.323509,2.0149875,-1.129615,2.0411415
6.104352,6.344216,6.336432,6.370098,6.543147,2.317482,2.6109215,-1.469388,-1.122373,-1.323509,2.609819,-1.129615,2.6202415
7.267086,7.49771,7.543371,7.528297,7.732811,3.6493575,3.9224655,0.031629,0.347221,0.135392,3.9341015,0.349461,3.938879
7.557769,7.786083,7.845106,7.817847,8.030227,3.9197835,4.189118,0.281798,0.592153,0.378542,4.2043845,0.595973,4.20691
8.720503,8.939577,9.052045,8.976047,9.21989,4.75132,5.0107975,0.782137,1.082018,0.864843,5.0423665,1.088999,5.032523
9.011187,9.22795,9.35378,9.265597,9.517306,5.271916,5.522382,1.532645,1.816814,1.594293,5.5557995,1.828537,5.547067
9.011187,9.22795,9.35378,9.265597,9.517306,5.5220855,5.7673145,2.032984,2.306679,2.080594,5.79895,2.321562,5.7935795
8.720503,8.939577,9.052045,8.976047,9.21989,5.251659,5.500662,1.782815,2.061747,1.837443,5.5286665,2.075049,5.525548
8.720503,8.939577,9.052045,8.976047,9.21989,5.5018285,5.745594,2.283154,2.551611,2.323744,5.771817,2.568074,5.7720605
