B1_004,B2_006,B3_008,B6_014,B7_016,F_020,L1_002,L2_018,M_B1,M_B2,M_B3,M_B6,M_L1,M_L2,B1_003,B2_005,B3_007,B6_013,F_019,L1_001,L2_017,M_F
-13.586043,-14.063944,-13.242063,-14.462383,-14.487968,-14.392719,-13.758521,-14.050926,-10.9695175,-11.19174,-10.8267145,-11.4984025,-11.617487,-11.344197,-8.352992,-8.319536,-8.411366,-8.534422,-9.357472,-9.476453,-8.637468,-11.8750955
-13.586043,-14.063944,-13.242063,-14.462383,-15.143927,-14.392719,-13.758521,-14.050926,-10.9695175,-11.19174,-10.8267145,-12.555458,-11.617487,-12.085997,-8.352992,-8.319536,-8.411366,-10.648533,-11.573985,-9.476453,-10.121068,-12.983352
-13.869086,-14.356943,-13.517939,-14.763682,-15.445759,-14.692567,-14.051255,-14.343654,-11.356715,-11.582932,-11.2120455,-12.9571195,-12.0119115,-12.4864045,-8.844344,-8.808921,-8.906152,-11.150557,-12.082986,-9.972568,-10.629155,-13.3877765
-13.869086,-14.356943,-13.517939,-14.763682,-15.445759,-14.692567,-14.051255,-14.343654,-11.274823,-11.501368,-11.1295815,-12.873449,-11.9292255,-12.4017235,-8.68056,-8.645793,-8.741224,-10.983216,-11.913319,-9.807196,-10.459793,-13.302943
-14.435171,-14.94294,-14.069692,-15.366281,-16.049425,-15.292264,-14.636724,-14.929109,-11.803542,-12.0390585,-11.652851,-13.425761,-12.4700175,-12.948494,-9.171913,-9.135177,-9.23601,-11.485241,-12.42232,-10.303311,-10.967879,-13.857292
-13.869086,-14.356943,-13.517939,-14.763682,-15.445759,-14.692567,-14.051255,-14.343654,-11.5204995,-11.74606,-11.3769745,-13.1244615,-12.177283,-12.6557665,-9.171913,-9.135177,-9.23601,-11.485241,-12.42232,-10.303311,-10.967879,-13.5574435
-13.303001,-13.770945,-12.966187,-14.161083,-14.842094,-14.092871,-13.465786,-13.758199,-11.0736725,-11.289933,-10.9361695,-12.65582,-11.719177,-12.193677,-8.844344,-8.808921,-8.906152,-11.150557,-12.082986,-9.972568,-10.629155,-13.0879285
-13.586043,-14.063944,-13.242063,-14.462383,-15.143927,-14.392719,-13.758521,-14.050926,-11.378978,-11.5995605,-11.2390365,-12.973812,-12.030916,-12.5094025,-9.171913,-9.135177,-9.23601,-11.485241,-12.42232,-10.303311,-10.967879,-13.4075195
-13.303001,-13.770945,-12.966187,-14.161083,-14.842094,-14.092871,-13.465786,-13.758199,-11.0736725,-11.289933,-10.9361695,-12.65582,-11.719177,-12.193677,-8.844344,-8.808921,-8.906152,-11.150557,-12.082986,-9.972568,-10.629155,-13.0879285
-13.019958,-13.477946,-12.690311,-13.859783,-14.540261,-13.793022,-13.173052,-13.465471,-10.768367,-10.9803055,-10.633303,-12.3378285,-11.4074385,-11.8779505,-8.516776,-8.482665,-8.576295,-10.815874,-11.743652,-9.641825,-10.29043,-12.768337
-12.170831,-12.59895,-11.862682,-12.955884,-13.634763,-12.893478,-12.294848,-12.587288,-10.4256955,-10.6223715,-10.301953,-11.96955,-11.051022,-11.5235405,-8.68056,-8.645793,-8.741224,-10.983216,-11.913319,-9.807196,-10.459793,-12.4033985
-11.604745,-12.012952,-11.310929,-12.353285,-13.031098,-12.293781,-11.709379,-12.001833,-10.0607605,-10.2478085,-9.943612,-11.5845795,-10.675602,-11.1461315,-8.516776,-8.482665,-8.576295,-10.815874,-11.743652,-9.641825,-10.29043,-12.0187165
