B7_016,F_020,M_B7,B3_007,B7_015,F_019,M_F,L1_001
5.436293,5.615915,4.938184,5.974414,4.440075,3.216467,4.416191,3.567531
5.120138,4.59449,4.4225465,5.234221,3.724955,3.750806,4.172648,4.214261
4.066287,5.105203,3.8681165,5.287092,3.669946,3.269901,4.187552,3.513637
4.066287,3.981635,3.730593,4.969866,3.394899,3.216467,3.599051,3.67532
3.855517,3.36878,3.2401435,5.022737,2.62477,3.109599,3.2391895,3.136378
2.907052,3.36878,2.5183695,4.969866,2.129687,2.468391,2.9185855,3.136378
2.169356,2.449498,1.90198,4.494028,1.634604,2.735561,2.5925295,2.866908
2.063971,2.040928,1.876792,4.811253,1.689613,1.77375,1.907339,2.75912
2.063971,1.019503,1.8217825,4.494028,1.579594,1.880618,1.4500605,2.974696
1.958586,1.019503,1.7415855,4.229673,1.524585,1.560014,1.2897585,2.004602
1.01012,1.530215,-0.255235,4.176802,-1.52059,1.50658,1.5183975,2.058496
0.79935,1.530215,0.5293615,4.969866,0.259373,0.811938,1.1710765,1.735131
1.115505,1.530215,0.5499155,4.388286,-0.015674,0.918806,1.2245105,0.926719
-0.149115,1.428072,-0.027385,3.965319,0.094345,1.346278,1.387175,0.603355
-0.46527,1.019502,-0.2679765,3.383739,-0.070683,1.079108,1.049305,0.872825
1.431661,2.755925,0.900526,3.277997,0.369391,0.491334,1.6236295,0.926719
1.431661,1.530215,1.203077,3.700964,0.974493,0.865372,1.1977935,0.603355
1.326276,2.755925,0.8478335,3.753835,0.369391,0.918806,1.8373655,1.357872
0.37781,1.121645,0.043545,2.749288,-0.29072,0.70507,0.9133575,0.27999
0.272425,0.10022,-0.0916615,3.43661,-0.455748,0.491334,0.295777,0.495566
-0.570655,0.304505,-0.5682105,3.066513,-0.565766,0.331033,0.317769,0.064413
-1.097581,-1.431918,-0.9691965,2.432062,-0.840812,-0.203307,-0.8176125,0.495566
-1.202966,-1.12549,-1.1594125,2.802159,-1.115859,-0.256741,-0.6911155,-0.043375
-0.46527,-0.71692,-0.873078,2.432062,-1.280886,0.170731,-0.2730945,-0.36674
-0.2545,-0.206208,-0.547656,2.643546,-0.840812,-0.149873,-0.1780405,0.333884
0.061655,0.406647,-0.362074,2.061966,-0.785803,0.117297,0.261972,0.118307
-0.781426,1.428072,-0.4260545,2.273449,-0.070683,0.331033,0.8795525,-0.205057
-0.781426,1.428072,-0.4260545,2.273449,-0.070683,0.331033,0.8795525,-0.205057
-1.308352,2.551639,-0.6620125,1.956224,-0.015673,0.491335,1.521487,-0.097269
-0.570656,2.040927,-0.210651,2.061966,0.149354,0.437901,1.239414,0.172202
-0.465271,2.245212,-0.2954815,2.167707,-0.125692,0.544769,1.3949905,0.549461
-1.097582,1.938784,-0.7216555,1.797611,-0.345729,0.063864,1.001324,0.27999
-2.046047,1.223787,-1.2784015,1.480386,-0.510756,0.117298,0.6705425,-0.097269
-2.046047,-0.001923,-2.9660175,1.586127,-3.885988,-0.470476,-0.2361995,-0.474527
-3.837593,-1.738346,-4.4393875,2.009095,-5.041182,-1.378853,-1.5585995,-1.282939
-4.259133,-2.453343,-4.7051665,1.586127,-5.1512,-1.432287,-1.942815,-1.875775
-3.521438,-3.679053,-4.418833,1.586127,-5.316228,-2.126929,-2.902991,-2.360822
-4.153748,-3.168341,-4.789997,0.793064,-5.426246,-4.069839,-3.61909,-2.791975
-3.626823,-4.189766,-4.444021,1.16316,-5.261219,-4.069839,-4.1298025,-2.522504
-3.942978,-3.270483,-4.904649,0.158613,-5.86632,-4.390443,-3.830463,-2.845869
-4.153748,-3.270483,-5.1200525,0.264354,-6.086357,-3.909537,-3.59001,-2.522504
-3.626823,-2.759771,-4.8290855,0.58158,-6.031348,-4.230141,-3.494956,-2.46861
-3.837593,-3.576911,-4.329369,0.211484,-4.821145,-4.283575,-3.930243,-2.46861
-2.994513,-3.679053,-4.2928935,-0.317226,-5.591274,-3.909537,-3.794295,-3.007551
-3.099898,-2.657628,-4.125549,-0.158613,-5.1512,-4.069839,-3.3637335,-2.953657
-2.046047,-1.942631,-3.5986235,-0.422967,-5.1512,-4.497311,-3.219971,-2.899763
-3.099898,-2.555486,-3.988026,-0.475838,-4.876154,-4.176707,-3.3660965,-2.953657
-3.837593,-2.249058,-4.6594245,-1.004547,-5.481256,-4.497311,-3.3731845,-2.953657
-2.889128,-2.964056,-3.93765,-0.105742,-4.986172,-4.176707,-3.5703815,-2.306928
-3.732208,-2.657628,-4.579227,-0.845935,-5.426246,-4.604179,-3.6309035,-2.522504
-3.626823,-1.942631,-4.664058,-0.687322,-5.701293,-4.657613,-3.300122,-2.899763
-2.889128,-1.942631,-4.377724,-0.740193,-5.86632,-4.871349,-3.40699,-2.791975
-3.310668,-1.738346,-4.4234665,-0.898806,-5.536265,-5.085085,-3.4117155,-2.576398
-4.469903,-1.227634,-4.9755795,-1.216031,-5.481256,-4.764481,-2.9960575,-2.953657
-4.996829,-2.453344,-5.4315745,-1.374644,-5.86632,-4.604179,-3.5287615,-3.38481
-5.523754,-2.249059,-6.0525975,-0.317226,-6.581441,-4.711047,-3.480053,-3.169234
-5.945294,-2.044774,-6.2358625,-1.057418,-6.526431,-5.56599,-3.805382,-3.38481
-5.945294,-2.044774,-6.2358625,-1.057418,-6.526431,-5.56599,-3.805382,-3.38481
-5.312984,-0.206209,-5.8646985,-1.427515,-6.416413,-5.352254,-2.7792315,-3.061446
-4.996828,-1.125491,-5.734125,-1.268902,-6.471422,-5.138518,-3.1320045,-3.38481
-3.732208,-0.308351,-4.881778,-1.903353,-6.031348,-5.779726,-3.0440385,-3.277022
-5.102213,-0.410494,-5.4292575,-1.321773,-5.756302,-4.924782,-2.667638,-3.061446
-4.259133,-0.410494,-5.1452405,-1.74474,-6.031348,-5.03165,-2.721072,-3.38481
-4.891443,-1.636204,-5.4889,-1.797611,-6.086357,-5.459122,-3.547663,-3.492599
-4.891443,-1.431919,-5.653928,-2.220579,-6.416413,-5.459122,-3.4455205,-3.492599
-4.891443,-2.351201,-5.571414,-1.797611,-6.251385,-5.405688,-3.8784445,-3.977646
-4.469902,-1.840489,-5.663194,-2.32632,-6.856486,-5.672858,-3.7566735,-3.600387
-5.734523,-3.270484,-6.488037,-2.802159,-7.241551,-5.726292,-4.498388,-4.139328
-5.102213,-2.453344,-6.2268915,-2.696417,-7.35157,-5.886594,-4.169969,-4.139328
-4.996828,-3.066199,-6.311722,-2.696417,-7.626616,-6.207198,-4.6366985,-4.247116
-5.839908,-2.964056,-6.788271,-2.379191,-7.736634,-6.260631,-4.6123435,-4.732163
-5.734523,-3.679054,-6.6805695,-2.696417,-7.626616,-6.581235,-5.1301445,-4.94774
-6.366833,-2.759771,-6.9142105,-3.172255,-7.461588,-6.10033,-4.4300505,-4.732163
-4.786058,-2.964056,-6.0963185,-2.537804,-7.406579,-6.260631,-4.6123435,-4.516587
-5.523753,-3.270484,-6.4926705,-3.383739,-7.461588,-6.314065,-4.7922745,-4.247116
-4.048362,-2.657629,-5.534938,-2.85503,-7.021514,-6.527801,-4.592715,-4.139328
-4.575287,-3.576911,-5.8809145,-3.595222,-7.186542,-6.741537,-5.159224,-4.139328
-6.050678,-3.474769,-6.673619,-2.802159,-7.29656,-6.420933,-4.947851,-4.139328
-6.577604,-3.066199,-7.019596,-3.383739,-7.461588,-6.153764,-4.6099815,-4.247116
-6.472218,-3.066199,-7.2144445,-3.648093,-7.956671,-6.848405,-4.957302,-3.923751
-5.839908,-3.270484,-6.953299,-4.01819,-8.06669,-6.848405,-5.0594445,-4.462693
-5.102213,-3.883339,-6.5844515,-3.595222,-8.06669,-6.527801,-5.20557,-5.109422
-5.839908,-4.598336,-7.035813,-3.859577,-8.231718,-7.275877,-5.9371065,-4.839952
-5.839908,-4.394051,-7.008308,-4.229673,-8.176708,-6.848405,-5.621228,-5.163316
-5.629138,-3.066199,-6.710391,-3.965319,-7.791644,-6.901839,-4.984019,-4.94774
-6.682989,-4.598336,-7.567372,-3.648093,-8.451755,-6.901839,-5.7500875,-4.624375
-8.052994,-4.291909,-8.334888,-4.229673,-8.616782,-6.901839,-5.596874,-5.486681
-7.104529,-5.109049,-7.7231325,-4.176802,-8.341736,-7.115575,-6.112312,-5.001634
-8.158379,-6.743329,-8.2500575,-4.176802,-8.341736,-7.115575,-6.929452,-5.001634
-7.842224,-5.824046,-7.7619245,-5.181349,-7.681625,-7.329311,-6.5766785,-4.624375
-8.052994,-6.539044,-8.1698605,-4.969866,-8.286727,-6.794971,-6.6670075,-4.139328
-8.052994,-6.539044,-8.1324275,-4.369201,-8.211861,-7.042854,-6.790949,-4.497133
-7.842224,-5.824046,-7.7519965,-4.474943,-7.661769,-6.615382,-6.219714,-4.227663
-7.315299,-4.904764,-7.5160385,-4.84504,-7.716778,-6.348212,-5.626488,-4.281557
-7.315299,-6.232616,-7.571048,-4.950781,-7.826797,-6.882552,-6.557584,-4.012086
-7.631454,-6.334759,-7.7841345,-5.109394,-7.936815,-6.72225,-6.5285045,-4.173769
-9.21223,-5.721904,-8.8770735,-4.739298,-8.541917,-7.096288,-6.409096,-4.281557
-10.160695,-6.539044,-9.2412875,-5.479491,-8.32188,-7.310024,-6.924534,-4.389345
-8.79069,-6.436901,-8.391257,-4.950781,-7.991824,-7.25659,-6.8467455,-4.012086
-7.631454,-5.313334,-8.0041715,-5.162265,-8.376889,-6.935986,-6.12466,-4.173769
-7.104529,-6.641186,-7.7132045,-5.109394,-8.32188,-6.935986,-6.788586,-4.012086
-7.104529,-5.517619,-7.2731305,-4.950781,-7.441732,-7.042854,-6.2802365,-4.443239
-7.315299,-5.313334,-7.268497,-5.109394,-7.221695,-6.935986,-6.12466,-4.71271
-6.893759,-4.189766,-7.277764,-5.320878,-7.661769,-6.882552,-5.536159,-4.119874
-6.682989,-5.006906,-7.0623605,-4.633556,-7.441732,-6.561948,-5.784427,-4.173769
-6.156063,-5.211191,-6.6613745,-5.373749,-7.166686,-6.668816,-5.9400035,-3.904298
-4.996828,-4.087624,-5.8892245,-5.003652,-6.781621,-6.829118,-5.458371,-3.958192
-5.839908,-4.189766,-6.420783,-4.474943,-7.001658,-6.241344,-5.215555,-3.742616
-5.839908,-4.394051,-6.585811,-4.633556,-7.331714,-6.45508,-5.4245655,-3.419251
-4.996828,-3.576911,-5.779206,-5.162265,-6.561584,-6.668816,-5.1228635,-3.79651
-5.629138,-3.679054,-6.315398,-4.84504,-7.001658,-5.92074,-4.799897,-3.79651
-4.575287,-3.270484,-5.5134265,-4.739298,-6.451566,-5.760438,-4.515461,-3.79651
-3.099897,-3.576911,-4.6107035,-4.633556,-6.12151,-5.92074,-4.7488255,-3.473145
-3.521437,-3.372626,-4.656446,-4.422072,-5.791455,-5.332967,-4.3527965,-3.095886
-3.837592,-3.781196,-5.0070555,-4.422072,-6.176519,-5.279533,-4.5303645,-3.257568
-4.575287,-3.372626,-5.403408,-4.474943,-6.231529,-6.241344,-4.806985,-3.419251
-4.575287,-4.189766,-5.3483985,-4.474943,-6.12151,-6.081042,-5.135404,-3.203674
-4.891443,-3.270484,-5.699009,-4.157718,-6.506575,-6.027608,-4.649046,-3.365357
-4.891443,-3.270484,-5.699009,-4.157718,-6.506575,-6.027608,-4.649046,-3.365357
-4.153748,-2.657629,-5.137629,-4.897911,-6.12151,-5.760438,-4.2090335,-4.012086
-4.048363,-3.168342,-5.112441,-4.369202,-6.176519,-5.813872,-4.491107,-3.527039
-4.680673,-3.576912,-5.5386145,-4.633557,-6.396556,-5.279533,-4.4282225,-3.580933
-5.102213,-3.576912,-5.6943755,-4.26346,-6.286538,-5.65357,-4.615241,-3.958192
-5.839909,-2.964057,-6.1457375,-4.422073,-6.451566,-5.600136,-4.2820965,-3.904298
-5.207598,-3.576912,-5.9120955,-4.104847,-6.616593,-6.134476,-4.855694,-3.365357
-6.366834,-3.474769,-6.684246,-4.474944,-7.001658,-5.974174,-4.7244715,-3.79651
-5.839909,-5.006907,-6.4207835,-4.527815,-7.001658,-6.348212,-5.6775595,-3.850404
-6.050679,-4.700479,-6.41615,-4.580686,-6.781621,-6.401646,-5.5510625,-4.658816
-5.523754,-4.598337,-6.34522,-4.157718,-7.166686,-6.241344,-5.4198405,-3.688721
-4.364518,-3.781197,-5.188005,-4.210589,-6.011492,-5.813872,-4.7975345,-4.604922
-3.942978,-2.964057,-4.977235,-4.104847,-6.011492,-5.813872,-4.3889645,-3.634827
-4.153748,-2.657629,-5.137629,-4.527815,-6.12151,-5.172665,-3.915147,-3.365357
-3.205282,-2.861914,-4.6358915,-4.474944,-6.066501,-5.546702,-4.204308,-3.203674
-3.732208,-3.066199,-4.51429,-4.792169,-5.296372,-5.226099,-4.146149,-3.473145
-3.626823,-3.066199,-4.7366435,-4.051977,-5.846464,-5.439834,-4.2530165,-3.14978
-1.940662,-2.351202,-3.673526,-4.950782,-5.40639,-5.172665,-3.7619335,-3.203674
-1.308351,-1.738347,-3.192343,-4.580686,-5.076335,-4.798627,-3.268487,-2.503051
-0.043731,0.202361,-2.339996,-4.051977,-4.636261,-4.317721,-2.05768,-3.257568
0.061654,-0.410494,-2.0397615,-3.576138,-4.141177,-4.478023,-2.4442585,-2.018004
